site,a,a_se,b,b_se,c,c_se,d,d_se,e,e_se,f,f_se,r2_width,r2_vel,r2_depth,prod_coefs,sum_coefs
LEWI,4.13382440526003,0.0356024058363863,0.0750108875978387,0.0110045324113814,0.391166589405892,0.074986165961268,0.357838321617941,0.0238968166148728,0.473566473271135,0.103396485750592,0.398256654821063,0.0329507026653482,0.513920000640017,0.460457922023151,0.567682966038397,0.995691552701204,0.831105864036843
MART,6.45284145560237,0.0261385002664064,0.151916516905897,0.0102832302626001,0.245679385484891,0.0352969488942131,0.180309099716202,0.0115816164243824,0.565608097257166,0.0492054129240784,0.564490012569363,0.0161452543730615,0.87512502555065,0.916005866451598,0.683060805011956,1.49146682433292,0.896715629191462
MAYF,5.77765103701792,0.0293715378677565,0.124236207496772,0.0137828739048973,0.555230767124267,0.0683687647863032,0.427978498569929,0.0322798513301895,0.283759942872679,0.0622126962507857,0.378464823012012,0.0293733050772905,0.661852244969706,0.459631499687969,0.47394767920584,1.29993710106409,0.930679529078713
MCDI,5.66141191877886,0.0819069394048894,0.0618245534527926,0.0278545961894749,0.23368980074144,0.0821428952102515,0.0317200070432882,0.0234002505625025,1.09766026033886,0.129637397367557,0.935185942376876,0.0369301273458517,0.135737111859131,0.890164931990849,0.01048996285566,-0.234848063587286,1.02873050287296
MCRA,6.82969696925975,0.0344073126770271,0.0874669804318229,0.0115616059929161,0.316000227016427,0.0383263221415086,0.253693203789096,0.0128523091617334,0.565967850592261,0.0405441137148149,0.574960981665743,0.0135960210903442,0.667591534507035,0.942024473982353,0.779396714576814,1.25987219788641,0.916121165886663
OKSR,7.37095163606308,0.00917707727645927,0.133108361530126,0.00948785225533279,0.319568950950219,0.0139859875544735,0.284698470766133,0.0147596202224818,0.505965802679195,0.0140834121263001,0.562984689953441,0.0148624338189403,0.871009379098383,0.945905739516928,0.819010888575009,1.55249174788232,0.9807915222497
POSE,9.47782085703749,0.0848200667501314,0.0994842017346611,0.0186324517823998,0.272770768239642,0.0557085394603422,0.19414868356223,0.0120485032260364,1.09171336143938,0.0792616891213883,0.720253539657575,0.0171425193755076,0.407478483144837,0.894993797680924,0.555468315228324,-0.256371693823863,1.01388642495447
PRIN,6.65882623416298,0.104460474541183,0.135926599767296,0.039271871920941,0.482853380575044,0.122998442201029,0.11063030826612,0.03378988661762,0.239682195028105,0.172242924244656,0.848590329007971,0.0473182324651062,0.499538058440717,0.748026850775461,0.0825649582584556,1.97171588651451,1.09514723704139
REDB,3.61785285509339,0.04443236682598,0.106195171142059,0.0151185358198951,0.398108030168671,0.0306024042899141,0.320906577504454,0.00950920573232308,1.17449877221664,0.0396352779516865,0.649586767889621,0.0123160261765647,0.54719870106495,0.951417219769821,0.889050003656946,-0.190490536606108,1.07668851653613
SYCA,7.48259173838994,0.0942158615750701,0.233606552784834,0.0364763157549065,0.216245572499716,0.0752970384933983,0.169220781133072,0.0236924937198062,0.658462731658369,0.071001056742084,0.525732490498411,0.0223407470548648,0.727349611182746,0.88334486804178,0.406569606446034,1.2877822691324,0.928559824416317
TECR,3.37814647824128,0.0555869529148761,0.134390287296583,0.0137847780950567,0.310191879621145,0.102720117304672,0.127173867362135,0.023056106124519,1.04488396783856,0.166959667476422,0.810407758225133,0.0374750332540332,0.824632960766031,0.822074199069522,0.225605777522985,-0.0625640545301113,1.07197191288385
WALK,4.21949463989855,0.0363434078203971,0.0407633729677435,0.00701994307841475,0.0858866307775481,0.361277893517448,-0.101487332369464,0.0702847903693788,0.0149616530490042,0.466736190552784,-0.438622366367279,0.0908011696797069,0.449936465738079,0.119222607946357,0.00653265321732999,14.851259074312,-0.499346325769
WLOU,3.05539037998158,0.0385877757380664,0.110975271339139,0.0120179201292095,0.310118447113875,0.0438135777683941,0.331878085569255,0.0144556510262784,1.45598474279515,0.0462061910661299,0.592073218984139,0.0152450588910214,0.694894472813842,0.925690144441038,0.813007980153572,-0.491271036059975,1.03492657589253
